Email	Password	Salt	Support Giver?	Name	Phone
admin@gmail.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Admin	000-0000000
customer@gmail.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Customer	111-1111111
ivan@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Ivan Rubinson	222-2222222
ilan@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Ilan Tulepov	333-3333333
alon@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Alon Gabay	444-4444444
shani@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Shani Levi	555-5555555
ron@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Ron Shkoury	666-6666666
lidor@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Lidor	777-7777777
stav@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Stav Lobel	888-8888888
itay@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	1	Itay	999-9999999
yosi@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Yosi Cohen	123-1234567
mcohen@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Michael Cohen	123-2345678
stevec@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Steve Cohen	123-3456789
dafna87@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Dafna Cohen	123-9876543
rachelco7@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Rachel Cohen	123-8765432
orenoren@mailinator.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Oren Cohen	123-7654321
rick@sce.ac.il	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Richard Cohen	123-1232123
ilan@pipi.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Ilan Nuku	666-6262635
tata@holy.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Tata Bu	555-9512634
tinka@pupu.com	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Tirx Prix	147-5213456
Martin@sce.ac.il	03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4	 	0	Martin L.K	631-5214658
